Time (s) Auto;Force (N) Run #1
0;-7,10E-15
0,05;0
0,1;0,1
0,15;0,2
0,2;0,8
0,25;1,4
0,3;2,3
0,35;3,8
0,4;4,6
0,45;6,7
0,5;8,5
0,55;11
0,6;8,7
0,65;7,5
0,7;6,4
0,75;4,9
0,8;3,3
0,85;3,3
0,9;3,2
0,95;3,2
1;3,2
1,05;3,3
1,1;3,2
1,15;3,3
1,2;2,8
1,25;1,9
1,3;1
1,35;-7,10E-15
1,4;0,2
1,45;0,2
1,5;0,2
1,55;0,2
1,6;0,1
1,65;0,1
1,7;0
1,75;0
1,8;-7,10E-15
1,85;0
1,9;0
1,95;0
2;0
2,05;-7,10E-15
2,1;-7,10E-15
2,15;0
2,2;-7,10E-15
2,25;-7,10E-15
2,3;-7,10E-15
2,35;-7,10E-15
2,4;-7,10E-15
2,45;-7,10E-15
2,5;-7,10E-15
